variable,grp,avg_time,avg_amp,avg_duration,n_durations,solution
o1,-1201,-1.2004979380952383e6,0.5091419437702083,23.457142857141747,42,ZB23.R01
o1,-1202,-1.201493693023256e6,0.5275827099424869,23.423255813952405,43,ZB23.R01
o1,-1203,-1.202500758139535e6,0.5336764697643623,23.413953488373178,43,ZB23.R01
o1,-1204,-1.203507376744186e6,0.5295594494457032,23.404651162788532,43,ZB23.R01
o1,-1205,-1.2045020238095238e6,0.5298910214189642,23.400000000001107,42,ZB23.R01
o1,-1206,-1.205496293023256e6,0.5293311499711735,23.3953488372093,43,ZB23.R01
o1,-1207,-1.2065018093023256e6,0.5316418361084113,23.37674418604543,43,ZB23.R01
o1,-1208,-1.2075070093023258e6,0.529070024585032,23.376744186050843,43,ZB23.R01
o1,-1209,-1.208500214285714e6,0.5273504681221457,23.361904761903652,42,ZB23.R01
o1,-1210,-1.209493046511628e6,0.5260313164924129,23.358139534881555,43,ZB23.R01
o1,-1211,-1.2104973023255812e6,0.5235205188146219,23.348837209302324,43,ZB23.R01
o1,-1212,-1.2115010558139533e6,0.5297966021925518,23.339534883723097,43,ZB23.R01
o1,-1213,-1.2125045116279072e6,0.5208178316175927,23.33023255813845,43,ZB23.R01
o1,-1214,-1.2135075813953488e6,0.5210583400369939,23.33023255813845,43,ZB23.R01
o1,-1215,-1.2145103627906975e6,0.522403835655544,23.311627906979993,43,ZB23.R01
o1,-1216,-1.215501061904762e6,0.5251763295781148,23.30476190475747,42,ZB23.R01
o1,-1217,-1.2164914837209303e6,0.5306577742716402,23.302325581395348,43,ZB23.R01
o1,-1218,-1.2174932e6,0.5305027757722209,23.29302325581612,43,ZB23.R01
o1,-1219,-1.2184945023255816e6,0.5283834760289932,23.274418604652247,43,ZB23.R01
o1,-1220,-1.2194954930232556e6,0.5255240726743811,23.283720930231475,43,ZB23.R01
o1,-1221,-1.220496134883721e6,0.5242600145640687,23.265116279067602,43,ZB23.R01
o1,-1222,-1.2214964000000001e6,0.5232750377941098,23.25581395348837,43,ZB23.R01
o1,-1223,-1.2224963860465116e6,0.5278713075508285,23.246511627909143,43,ZB23.R01
o1,-1224,-1.2234959395348837e6,0.5261474239829173,23.246511627909143,43,ZB23.R01
o1,-1225,-1.2244951348837211e6,0.523084481090995,23.237209302324498,43,ZB23.R01
o1,-1226,-1.2254940558139535e6,0.528663121300918,23.218604651160625,43,ZB23.R01
o1,-1227,-1.226492576744186e6,0.5261120818264285,23.21860465116604,43,ZB23.R01
o1,-1228,-1.2274907302325582e6,0.5278304671062259,23.209302325581394,43,ZB23.R01
o1,-1229,-1.2285000545454544e6,0.529939095824749,23.199999999995768,44,ZB23.R01
o1,-1230,-1.2295092e6,0.528665074468882,23.200000000002166,43,ZB23.R01
o1,-1231,-1.2305064000000001e6,0.5246513075887936,23.181395348838294,43,ZB23.R01
o1,-1232,-1.2315031906976744e6,0.5286292708458215,23.181395348838294,43,ZB23.R01
o1,-1233,-1.2324995348837208e6,0.5169432436177396,23.162790697674417,43,ZB23.R01
o1,-1234,-1.2334956093023254e6,0.5250989249695823,23.162790697674417,43,ZB23.R01
o1,-1235,-1.2344913069767442e6,0.5244951682006955,23.153488372089775,43,ZB23.R01
o1,-1236,-1.2354982909090908e6,0.520023198069866,23.14545454545772,44,ZB23.R01
o1,-1237,-1.2365048511627908e6,0.5186464465569776,23.134883720925902,43,ZB23.R01
o1,-1238,-1.2374995069767442e6,0.5261923848581037,23.125581395352086,43,ZB23.R01
o1,-1239,-1.238493827906977e6,0.5211455770285979,23.11627906976744,43,ZB23.R01
o1,-1240,-1.2394993954545453e6,0.5320633378658267,23.11818181818076,44,ZB23.R01
o1,-1241,-1.2405045534883726e6,0.5212087971159055,23.097674418603567,43,ZB23.R01
o1,-1242,-1.2414977906976745e6,0.5249952426725524,23.097674418603567,43,ZB23.R01
o1,-1243,-1.242502222727273e6,0.5239795188963542,23.0818181818203,44,ZB23.R01
o1,-1244,-1.2435063860465116e6,0.5277070925773053,23.079069767439695,43,ZB23.R01
o1,-1245,-1.2444985720930232e6,0.5241337192040045,23.07906976744511,43,ZB23.R01
o1,-1246,-1.245502018181818e6,0.5245944666929931,23.054545454543337,44,ZB23.R01
o1,-1247,-1.246505065116279e6,0.5212243789942771,23.060465116281236,43,ZB23.R01
o1,-1248,-1.24749628372093e6,0.5286483907396448,23.041860465117363,43,ZB23.R01
o1,-1249,-1.248498695454545e6,0.5216852584840406,23.045454545454547,44,ZB23.R01
o1,-1250,-1.2495008046511633e6,0.5040115279535098,23.06046511627582,43,ZB23.R01
o12,-1201,-1.2004967125000001e6,1.721979631383106,20.591666666664725,48,ZB23.R01
o12,-1202,-1.2014967469387758e6,1.7200195209766804,20.53061224489796,49,ZB23.R01
o12,-1203,-1.2025059234042554e6,1.221910837261585,21.106382978723403,47,ZB23.R01
o12,-1204,-1.2034981755102042e6,1.4978375966986353,20.62857142857238,49,ZB23.R01
o12,-1205,-1.2044954041666666e6,1.6751535689013013,20.625,48,ZB23.R01
o12,-1206,-1.2054953306122448e6,1.2969730562579762,20.620408163268156,49,ZB23.R01
o12,-1207,-1.2064947874999999e6,1.88844872843835,20.591666666664725,48,ZB23.R01
o12,-1208,-1.2074936326530613e6,1.6596879772570474,20.848979591838635,49,ZB23.R01
o12,-1209,-1.2085138875000004e6,1.405106810506186,20.77499999999903,48,ZB23.R01
o12,-1210,-1.2095021374999995e6,1.690353889166759,20.508333333331393,48,ZB23.R01
o12,-1211,-1.2104979142857143e6,1.2002808582256468,20.579591836737546,49,ZB23.R01
o12,-1212,-1.2114974765957443e6,1.103566792941294,21.04680851063731,47,ZB23.R01
o12,-1213,-1.2124933102040817e6,1.7042293937277198,20.579591836732792,49,ZB23.R01
o12,-1214,-1.213492116666667e6,1.4844417668156116,21.016666666667636,48,ZB23.R01
o12,-1215,-1.2144979875e6,1.4019760215632135,20.458333333333332,48,ZB23.R01
o12,-1216,-1.2154941673469385e6,1.7062297701288154,20.481632653063127,49,ZB23.R01
o12,-1217,-1.216498285714286e6,1.3460381813239586,20.538775510202182,49,ZB23.R01
o12,-1218,-1.2175048541666663e6,1.0872199143064125,21.02499999999903,48,ZB23.R01
o12,-1219,-1.218500491666667e6,1.4401013133766256,20.533333333335275,48,ZB23.R01
o12,-1220,-1.219485241666667e6,1.262796395063587,20.916666666666668,48,ZB23.R01
o12,-1221,-1.2204914374999998e6,0.9313026537838973,20.741666666663757,48,ZB23.R01
o12,-1222,-1.2215065469387753e6,1.393003048007071,20.620408163268156,49,ZB23.R01
o12,-1223,-1.2224994041666666e6,1.2257656413280777,20.541666666666668,48,ZB23.R01
o12,-1224,-1.2234962166666666e6,0.9697850275842458,20.94999999999709,48,ZB23.R01
